"",2020,2021,2022,2023
"BNP, euroområdet","-6,4","5,0","4,5","1,5"
"BNP, USA","-3,4","6,0","4,5","1,5"
"BNP, Kina","2,3","8,0","5,5","5,5"
"BNP, världen, ppp-vägd","-3,3","6,0","4,5","3,5"
"BNP, världen KIX-vägd","-4,3","4,8","4,2","2,3"
Svensk exportmarknad,"-8,9","8,0","6,0","3,5"
Inflation euroområdet,"0,3","1,9","1,4","1,5"
"Inflation, USA","1,2","3,7","2,8","2,4"
% av BNP,2020,,202,2022,,202,2024
"",,1,,,3,,
Finansiellt sparande,"-3,0",,"-1,8","-0,7",,"0,6",1
Strukturellt sparande,-1,,"-1,2","-0,6",,"0,5","1,2"
Förändring strukturellt,,,"-0,2","0,6",,"0,9","0,7"
sparande från föregående år,,,,,,,
"",2022,2023,2024
Utgiftstak,1 617 000,1 519 000,1 555 000
Takbegränsade utgifter,1 513 450,1 488 726,1 505 015
Budgeteringsmarginal,103 550,30 274,49 985
"Budgeteringsmarginal, % av","6,8 %","2,0 %","3,3 %"
takbegränsade utgifter,,,
Utgiftstak som andel av BNP,"28,9 %","26,3 %","26,0 %"
Stärk arbetslinjen,26 975,"31700",30 600
Förstärkt jobbskatteavdrag,12 000,12 000,12 000
Sänkt skatt för pensionärer,5 800,5 800,5 800
"Sänkta anställningskostnader förlångtidsarbetslösa",1 200,3 800,2 600
"Sänkta trösklar till arbetsmarknaden förfunktionshindrade",600,1 200,1 300
Sänkt skatt på sparande och investeringar,1 650,1 650,1 650
Ökade forskningsanslag,100,100,100
Utvidgat forskningsavdrag,275,550,550
Mer generösa regler för personaloptioner,100,100,100
Höjd omsättningsgräns för moms,250,500,500
Nej till bankskatt,5 000,6 000,6 000
Ett tryggare Sverige,4 535,8 500,11 830
Fler poliser och åklagare,1 570,3 660,5 550
Bygg ut Sveriges fängelser,1 490,2 160,3 660
"Stärk det lokala och brottsförebyggandearbetet",575,575,575
Stärk hela rättsväsendet,420,715,930
Lag och ordning utanför rättsväsendet,240,435,585
"Stärkt försvarsförmåga utöverförsvarsbeslutet",80,80,80
Fler förvarsplatser,75,300,400
Genomför en folkräkning,10,500,
Reformagenda för den liberala demokratin,75,75,50
En effektiv omställning,3 335,3 720,3 720
Kärnkraftsforskning,250,250,250
Avskaffa avfallsförbränningsskatten,185,370,370
Internationella klimatinvesteringar,60,60,60
Industrikliv,500,500,500
Driftsstöd för CCS,10,10,10
Laddstolpar,1 000,1 000,1 000
Grönt bränslestöd,800,900,900
Vård av skog och naturleder m.m.,310,410,410
Vattenpaket,220,220,220
"Starkare välfärd, mer kunskap i skolanoch livskraftig kultur",3 720,6 025,8 920
Ökade resurser till välfärden,3 000,5 000,7 000
Bättre cancervård m.m,160,155,155
Bättre villkor för barn och unga,150,150,150
Mer kunskap i skolan och fler tidiga insatser,155,365,1 260
Mer livskraftig kultur,255,355,355
Goda villkor i hela Sverige,11 705,8 745,8 850
Sänkta drivmedelsskatter,7 200,6 600,6 400
Nej till höjd fordonsskatt,210,550,860
Ökat vägunderhåll,1 000,150,150
Ökat järnvägsunderhåll,1 250,,
Stöd till regionala flygplatser,100,,
Stöd till kollektivtrafiken,1 500,,
Renoveringsstöd för bensinmackar,150,150,150
Stärk de gröna näringarna,290,1 290,1 290
Reformera strandskyddet,5,5,
Övriga förslag,825,965,1060
Sänkt SINK-skatt,600,600,700
Avskaffad plastpåseskatt,190,360,360
"Ökade resurser till regeringskansliet förövriga prioriterade utredningar",35,5,0
"",,,
SUMMA PRIORITERADE REFORMER,51 095,59 655,64 980
Finansiering,,,
Arbetslinje i a-kassa och sjukförsäkringen,9 000,"13800",13 800
Stramare bistånd,"13000","14600",16 600
Nej till familjeveckan,3 300,3 900,3 900
Skärpt kvalificering till välfärdssystemen,0,800,800
Effektivare arbetsmarknadspolitik,1 400,2 800,2 300
Avveckla byggsubventionerna,1 300,80,5 800
